step_index,current_A,current_mA,voltage_V,power_W,power_mW,is_above_cutoff,is_increasing_current
23,0.09030626666666668,90.30626666666667,0.3068444444444444,0.027709976225185187,27.709976225185187,False,False
24,0.07663186999999999,76.63186999999999,0.23362000000000002,0.0179027374694,17.9027374694,False,False
25,0.06314761666666666,63.14761666666666,0.16224444444444444,0.010245349984074071,10.245349984074071,False,False
26,0.052663272500000004,52.663272500000005,0.10826,0.00570132588085,5.70132588085,False,False
27,0.04454073333333333,44.540733333333336,0.0659888888888889,0.0029391935029629635,2.9391935029629637,False,False
28,0.03834280999999999,38.34280999999999,0.034379999999999994,0.0013182258077999995,1.3182258077999995,False,False
29,0.033509141666666666,33.509141666666665,0.009744444444444443,0.0003265279693518518,0.3265279693518518,False,False
30,0.029569287499999996,29.569287499999994,-0.010640000000000002,-0.000314617219,-0.314617219,False,False
31,0.026380639999999993,26.380639999999993,-0.02712,-0.0007154429567999997,-0.7154429567999997,False,False
32,0.023723316666666668,23.72331666666667,-0.04067777777777778,-0.0009650118035185185,-0.9650118035185186,False,False
33,0.021537604999999998,21.537605,-0.051629999999999995,-0.0011119865461499997,-1.1119865461499998,False,False
34,0.019751849999999998,19.751849999999997,-0.06096666666666666,-0.0012042044549999999,-1.204204455,False,False
35,0.018228829999999994,18.228829999999995,-0.06400000000000002,-0.00116664512,-1.1666451199999999,False,False
36,0.016681925,16.681925,-0.064,-0.0010676432000000001,-1.0676432000000002,False,False
37,0.015819957499999995,15.819957499999996,-0.06400000000000002,-0.0010124772799999999,-1.01247728,False,False
38,0.014815616666666663,14.815616666666664,-0.064,-0.0009481994666666664,-0.9481994666666664,False,False
39,0.013948497499999999,13.948497499999998,-0.06400000000000002,-0.0008927038400000001,-0.8927038400000001,False,False
40,0.0131729375,13.1729375,-0.06400000000000002,-0.0008430680000000002,-0.8430680000000002,False,False
41,0.012492683333333334,12.492683333333334,-0.064,-0.0007995317333333334,-0.7995317333333334,False,False
42,0.011864179999999998,11.86418,-0.06400000000000002,-0.0007593075200000001,-0.75930752,False,False
43,0.011289066666666665,11.289066666666665,-0.064,-0.0007225002666666666,-0.7225002666666666,False,False
44,0.010785140000000002,10.785140000000002,-0.06400000000000002,-0.0006902489600000003,-0.6902489600000002,False,False
45,0.010317274999999999,10.317274999999999,-0.064,-0.0006603055999999999,-0.6603055999999999,False,False
46,0.009893667499999998,9.893667499999998,-0.06400000000000002,-0.0006331947200000001,-0.6331947200000001,False,False
47,0.009495349999999998,9.495349999999998,-0.064,-0.0006077023999999999,-0.6077024,False,False
48,0.009137075000000001,9.137075000000001,-0.064,-0.0005847728000000001,-0.5847728000000001,False,False
49,0.0087977675,8.797767499999999,-0.06400000000000002,-0.0005630571200000001,-0.5630571200000001,False,False
50,0.008490774999999999,8.490775,-0.064,-0.0005434096,-0.5434096,False,False
51,0.008197129999999999,8.197129999999998,-0.06400000000000002,-0.00052461632,-0.52461632,False,False
52,0.007912383333333332,7.912383333333332,-0.064,-0.0005063925333333333,-0.5063925333333332,False,False
53,0.007678685,7.678685,-0.06400000000000002,-0.0004914358400000001,-0.4914358400000001,False,False
54,0.007432341666666666,7.432341666666666,-0.064,-0.0004756698666666666,-0.4756698666666666,False,False
55,0.007221357499999999,7.221357499999999,-0.06400000000000002,-0.0004621668800000001,-0.46216688000000006,False,False
56,0.007008500000000001,7.008500000000001,-0.064,-0.00044854400000000005,-0.44854400000000005,False,False
57,0.006809458333333333,6.809458333333333,-0.064,-0.0004358053333333333,-0.4358053333333333,False,False
58,0.0066186125,6.6186125,-0.06400000000000002,-0.0004235912000000001,-0.4235912000000001,False,False
59,0.006441816666666666,6.441816666666666,-0.064,-0.0004122762666666666,-0.4122762666666666,False,False
60,0.006283520000000001,6.283520000000001,-0.06400000000000002,-0.00040214528000000015,-0.40214528000000016,False,False
61,0.00612335,6.123349999999999,-0.064,-0.00039189439999999997,-0.3918944,False,False
62,0.005975825,5.9758249999999995,-0.06400000000000002,-0.0003824528000000001,-0.3824528000000001,False,False
63,0.005840008333333334,5.8400083333333335,-0.064,-0.0003737605333333334,-0.37376053333333337,False,False
64,0.005699508333333334,5.699508333333334,-0.064,-0.00036476853333333335,-0.36476853333333337,False,False
