soc_percent,voltage_mean_V,voltage_min_V,voltage_max_V,current_mean_A,power_mean_W
54,3.9421215644820293,3.9386,3.945,-0.16179429175475687,-0.6378128570084566
55,3.94764406779661,3.945,3.9503,-0.16200794491525422,-0.6395498070180085
56,3.9534178343949042,3.9503,3.9568,-0.1622354033970276,-0.641384457059448
57,3.959461194029851,3.9555,3.9633,-0.16247484008528784,-0.6433129515618338
58,3.9658837606837607,3.962,3.9698,-0.16272435897435897,-0.6453460349198717
59,3.9726448497854077,3.9686,3.9763,-0.1629888948497854,-0.6474971510032189
60,3.979711827956989,3.9763,3.9841,-0.16326747311827958,-0.6497576622150538
61,3.986888744588745,3.9829,3.9907,-0.16355178571428572,-0.6520629467911256
62,3.9942521645021642,3.9907,3.9985,-0.16384891774891774,-0.6544540908170996
63,4.001840958605665,3.9973,4.0063,-0.16415582788671024,-0.656925712429194
64,4.009448908296943,4.0051,4.0129,-0.1644620633187773,-0.6594024346834061
65,4.017092324561403,4.0129,4.0207,-0.16477280701754385,-0.6619077806524123
66,4.024776211453744,4.0207,4.0286,-0.1650795704845815,-0.664408524438326
67,4.032549006622516,4.0286,4.0364,-0.16537146799116997,-0.6668687551379692
68,4.040285587583148,4.0364,4.0442,-0.16570338137472285,-0.6694891810975611
69,4.048133853006681,4.0442,4.0521,-0.16601525612472162,-0.672052194532294
70,4.055966517857143,4.0521,4.0599,-0.16633264508928572,-0.6746398634263393
71,4.06348202247191,4.0599,4.0677,-0.1666490449438202,-0.6771755726966293
72,4.071182207207207,4.0665,4.0756,-0.16695197072072074,-0.679692090518018
73,4.078662302483069,4.0743,4.0821,-0.16727161399548535,-0.6822446058069978
74,4.087436590909091,4.0769,4.0913,-0.16760772727272727,-0.6850862319659091
75,4.095502277904328,4.0913,4.0991,-0.16793211845102507,-0.6877665890261959
76,4.103447945205479,4.0991,4.1082,-0.1682613584474886,-0.6904519547716894
77,4.112171954022989,4.107,4.1161,-0.1686096551724138,-0.693352163086207
78,4.121328637413395,4.1161,4.1265,-0.1689849884526559,-0.6964429726096997
79,4.130888425925925,4.1253,4.1357,-0.1693835648148148,-0.6997049332581019
80,4.1401412587412585,4.1357,4.1447,-0.169704662004662,-0.7026014687296037
81,4.1493848130841124,4.1447,4.1539,-0.1700391355140187,-0.7055580893341121
82,4.158365023474179,4.1539,4.163,-0.1704012323943662,-0.7085907896948357
83,4.167266509433962,4.163,4.1721,-0.17076291273584907,-0.7116148434433962
84,4.176420142180095,4.1721,4.1813,-0.17113554502369668,-0.7147342256101896
85,4.185775059382423,4.1813,4.1904,-0.17151116389548693,-0.7179074467755344
86,4.195328468899522,4.1904,4.2008,-0.1718965909090909,-0.7211629793181819
87,4.20508345323741,4.1996,4.21,-0.17228998800959233,-0.7244941010491607
88,4.214798072289157,4.21,4.2192,-0.17269638554216868,-0.727880723692771
89,4.2246473300970875,4.2192,4.2296,-0.17309963592233008,-0.7312852494296117
90,4.234531143552311,4.2296,4.24,-0.17350559610705596,-0.7347151884854014
91,4.244510513447433,4.2388,4.2492,-0.17391130806845964,-0.7381687145721271
92,4.2545206388206385,4.2492,4.2597,-0.17432991400491402,-0.741690578544226
93,4.264810864197531,4.2597,4.2701,-0.17475314814814816,-0.745289493882716
94,4.275260545905708,4.2701,4.2806,-0.1751877171215881,-0.7489735243486353
95,4.285966334164589,4.2806,4.291,-0.17561315461346633,-0.7526724470199502
96,4.297032080200501,4.291,4.3028,-0.17605307017543861,-0.756506129385965
97,4.308613853904283,4.3028,4.3145,-0.17650768261964736,-0.7605039227896726
98,4.321003797468355,4.3145,4.3276,-0.17701943037974682,-0.764902217386076
99,4.3354298469387755,4.3276,4.3445,-0.17758469387755105,-0.7699068952806122
100,4.351466666666667,4.3445,4.3666,-0.17819307692307693,-0.7754026135128205
